PG/SG,Shake Milton (16337055),Shake Milton,16337055,PG/SG/G/UTIL,4400,BKN@PHI 02/06/2021 08:00PM ET,PHI,22.59
SG/SF,David Nwaba (16337062),David Nwaba,16337062,SG/SF/F/G/UTIL,4300,SA@HOU 02/06/2021 08:00PM ET,HOU,18.25
PF,Juancho Hernangomez (16337059),Juancho Hernangomez,16337059,PF/F/UTIL,4300,MIN@OKC 02/06/2021 08:00PM ET,MIN,15.68
PG/SF,Michael Carter-Williams (16337069),Michael Carter-Williams,16337069,PG/SF/F/G/UTIL,4300,CHI@ORL 02/06/2021 07:00PM ET,ORL,15.86
PF,Gary Clark (16337077),Gary Clark,16337077,PF/F/UTIL,4300,CHI@ORL 02/06/2021 07:00PM ET,ORL,10.38
C,DeAndre Jordan (16337067),DeAndre Jordan,16337067,C/UTIL,4300,BKN@PHI 02/06/2021 08:00PM ET,BKN,20.28
SG,Seth Curry (16337074),Seth Curry,16337074,SG/G/UTIL,4300,BKN@PHI 02/06/2021 08:00PM ET,PHI,21.09
SF/PF,Juan Toscano-Anderson (16337080),Juan Toscano-Anderson,16337080,SF/PF/F/UTIL,4200,GS@DAL 02/06/2021 08:30PM ET,GS,15.36
PF/C,Eric Paschall (16337088),Eric Paschall,16337088,PF/C/F/UTIL,4200,GS@DAL 02/06/2021 08:30PM ET,GS,16.06
PG/SG,Patty Mills (16337084),Patty Mills,16337084,PG/SG/G/UTIL,4200,SA@HOU 02/06/2021 08:00PM ET,SA,22.47
SG,Wayne Ellington (16337097),Wayne Ellington,16337097,SG/G/UTIL,4200,DET@LAL 02/06/2021 10:00PM ET,DET,18.73
PG/SF,Kenrich Williams (16337092),Kenrich Williams,16337092,PG/SF/F/G/UTIL,4200,MIN@OKC 02/06/2021 08:00PM ET,OKC,11.25
C,Aron Baynes (16337100),Aron Baynes,16337100,C/UTIL,4100,TOR@ATL 02/06/2021 08:00PM ET,TOR,14.79
PG,Rajon Rondo (16337107),Rajon Rondo,16337107,PG/G/UTIL,4100,TOR@ATL 02/06/2021 08:00PM ET,ATL,13.54
SF/PF,Dorian Finney-Smith (16337113),Dorian Finney-Smith,16337113,SF/PF/F/UTIL,4100,GS@DAL 02/06/2021 08:30PM ET,DAL,19.16
PF,Rudy Gay (16337110),Rudy Gay,16337110,PF/F/UTIL,4100,SA@HOU 02/06/2021 08:00PM ET,SA,22.76
SG,Kevin Porter Jr. (16337117),Kevin Porter Jr.,16337117,SG/G/UTIL,4100,SA@HOU 02/06/2021 08:00PM ET,HOU,0
SG/SF,Dwayne Bacon (16337102),Dwayne Bacon,16337102,SG/SF/F/G/UTIL,4100,CHI@ORL 02/06/2021 07:00PM ET,ORL,16.39
PG,Matthew Dellavedova (16337120),Matthew Dellavedova,16337120,PG/G/UTIL,4000,MIL@CLE 02/06/2021 08:00PM ET,CLE,0
PF/C,P.J. Tucker (16337135),P.J. Tucker,16337135,PF/C/F/UTIL,4000,SA@HOU 02/06/2021 08:00PM ET,HOU,16.17
SG/SF,Desmond Bane (16337126),Desmond Bane,16337126,SG/SF/F/G/UTIL,4000,MEM@NO 02/06/2021 09:00PM ET,MEM,17.46
PF/C,Khem Birch (16337131),Khem Birch,16337131,PF/C/F/UTIL,4000,CHI@ORL 02/06/2021 07:00PM ET,ORL,19.39
SG,Denzel Valentine (16337139),Denzel Valentine,16337139,SG/G/UTIL,4000,CHI@ORL 02/06/2021 07:00PM ET,CHI,16.84
SF,Danny Green (16337123),Danny Green,16337123,SF/F/UTIL,4000,BKN@PHI 02/06/2021 08:00PM ET,PHI,21.12
PF/C,Maxi Kleber (16337162),Maxi Kleber,16337162,PF/C/F/UTIL,3900,GS@DAL 02/06/2021 08:30PM ET,DAL,18.62
SG/SF,Lonnie Walker IV (16337145),Lonnie Walker IV,16337145,SG/SF/F/G/UTIL,3900,SA@HOU 02/06/2021 08:00PM ET,SA,19.93
SG/SF,Grayson Allen (16337155),Grayson Allen,16337155,SG/SF/F/G/UTIL,3900,MEM@NO 02/06/2021 09:00PM ET,MEM,17.31
PG,George Hill (16337142),George Hill,16337142,PG/G/UTIL,3900,MIN@OKC 02/06/2021 08:00PM ET,OKC,21.34
